Word,Loglikelihood
10this,-0.675515672
10to1,0.710778689
10well,-0.675515672
10what,-0.675515672
10x,1.40392587
10xs,0.710778689
10year,0.017631508
10yearold,0.305313581
10yr,0.710778689
11,-0.482020815
110,2.670873473
1100,-1.08098078
11001001,-0.675515672
1100ad,1.116243797
1100am,-0.675515672
1100th,-0.675515672
110br,1.627069421
110jd,0.710778689
110minute,1.116243797
110mph,0.710778689
110s,0.710778689
110steel,-0.675515672
111,0.305313581
1110,-1.368662853
111108,-0.675515672
1112,1.116243797
11146,0.710778689
112,-0.3878336
1121,-0.675515672
112413,0.710778689
112443,0.710778689
1130pm,-0.675515672
1133,1.116243797
1138,-0.675515672
1139,-0.675515672
1146,0.710778689
115,0.017631508
1150,-0.675515672
116,-0.270050564
1166,1.116243797
116minute,-0.675515672
116th,1.116243797
117,-1.591806404
118,-0.675515672
119,-1.08098078
11br,-1.591806404
11m,0.710778689
11minute,-1.08098078
11th,-1.417453017
11year,-0.675515672
11yearold,0.017631508
12,0.265193587
120,-0.675515672
1200,-0.3878336
12000,0.017631508
12000000,0.710778689
1200f,1.116243797
1201,0.017631508
1201pm,0.710778689
1202,0.710778689
120kmph,-0.675515672
120page,0.710778689
12100,1.116243797
12106,-0.675515672
1213,-0.675515672
12134,0.710778689
1215,-0.675515672
121am,1.116243797
122,-0.675515672
12206,1.40392587
122452,0.710778689
12272006,-0.675515672
123,-0.898659223
1230,-0.675515672
12345,-0.675515672
123867,0.710778689
1242,-0.675515672
1245,1.116243797
1245am,-0.675515672
1249,-0.675515672
125,1.116243797
125000,-0.675515672
125150,1.116243797
12638,0.710778689
127,-0.675515672
128,-1.368662853
12802,-0.675515672
128minute,-0.675515672
129,0.710778689
12a,1.40392587
12always,-0.675515672
12br,-0.3878336
12foot,-0.675515672
12hour,-0.675515672
12hr,-0.675515672
12inch,-0.675515672
12m,0.710778689
12mm,-0.675515672
12out,0.710778689
12pack,-0.675515672
12th,0.423096617
12thrateat,0.710778689
12year,-0.3878336
12yearold,-0.6014077
12yrold,-0.675515672
13,0.246473081
130,0.423096617
1300,0.710778689
13000,1.116243797
130000,-0.675515672
1310,1.116243797
1317,0.710778689
132,-1.08098078
133,-0.675515672
1331,-1.08098078
1331br,1.116243797
1335is,0.710778689
134,0.017631508
134minute,-0.675515672
135,-1.591806404
135m,1.116243797
137,0.017631508
1371br,0.710778689
138,-0.675515672
13848,-0.675515672
13br,0.423096617
13inch,-0.675515672
13it,-0.675515672
13th,0.538928432
13thbr,-0.675515672
13thcentury,-0.675515672
13ththe,1.116243797
13year,0.710778689
13yearold,1.809390978
13yearolds,1.627069421
14,-0.358419714
140,0.268945937
1400,-0.675515672
1408br,0.710778689
140am,1.116243797
141,0.710778689
1416,0.710778689
1424,0.710778689
143,0.710778689
1430,0.710778689
144,1.40392587
14400,-0.675515672
145,-0.675515672
1453,-0.675515672
145th,-0.675515672
147,0.710778689
1470,-0.675515672
1489,0.710778689
149,1.627069421
1498,-0.675515672
14a,-1.08098078
14goingon9,0.710778689
14inch,-0.675515672
14m,1.116243797
14movie,-0.675515672
14th,-1.44870556
14year,-0.675515672
14yearold,-0.541984279
14yearolds,0.710778689
14yo,1.40392587
14yrold,0.710778689
14ãme,-0.675515672
15,0.590492523
150,0.982712405
1500,0.710778689
15000,0.017631508
150000,0.710778689
1500000,1.40392587
1500sbr,1.116243797
1500sera,-0.675515672
1508,0.710778689
150mile,-0.675515672
150minute,1.40392587
150th,-0.675515672
1510,0.93392224
1516,-1.368662853
1517,-0.675515672
152,-0.675515672
1520,1.40392587
1547,1.116243797
155,0.710778689
155âºf,0.710778689
156,-1.08098078
158,0.017631508
15881679,1.116243797
158minute,-0.675515672
1596,-0.675515672
15bus,1.116243797
15episode,-0.675515672
15ft,0.710778689
15k,1.116243797
15mins,-0.675515672
15minute,-1.08098078
15pa,-0.675515672
15th,-1.281651476
15thcentury,0.710778689
15to18,-0.675515672
15year,-1.08098078
15yearold,0.423096617
15years,-0.675515672
16,-0.178113069
160,0.017631508
1600,-0.675515672
16000,0.423096617
1600s,-0.675515672
160lbs,0.710778689
161,-0.675515672
1611,-0.675515672
1620,0.710778689
163,0.93392224
164,0.017631508
1647,1.116243797
165,1.116243797
166,-0.675515672
168,-0.675515672
169,-1.08098078
1690s,-0.675515672
1692,-0.675515672
16k,1.116243797
16mm,0.218302204
16month,-0.675515672
16th,-0.793298708
16thcentury,0.017631508
16year,1.116243797
16yearold,-0.493194115
16ãme,-1.591806404
17,-0.346333869
170,-0.675515672
1700,-0.675515672
1700s,-1.368662853
1709,-0.675515672
170x,1.116243797
171,-0.675515672
1718,-0.675515672
1720,1.116243797
172003,1.116243797
1745,1.116243797
1746,0.710778689
175,-1.08098078
1750,0.710778689
1759,0.710778689
177,-0.675515672
1781br,0.710778689
1789,-0.675515672
1790s,0.710778689
1792,1.40392587
1794,-0.675515672
179495,-0.675515672
1798,-0.675515672
17inch,-0.675515672
17th,0.93392224
17thcentury,0.017631508
17yearold,1.627069421
17yo,-0.675515672
18,0.151162901
180,0.135414544
18000,0.017631508
1800makeover,1.116243797
1800s,0.354103745
1800sbr,0.710778689
1800smans,-0.675515672
18011844,-0.675515672
180d,0.710778689
180degree,-0.675515672
180minute,-0.675515672
180s,0.710778689
1812,-0.675515672
1814,-0.675515672
1816,-0.675515672
1819,-0.675515672
1819th,-0.675515672
181minute,-0.675515672
1820s,0.710778689
1824,0.710778689
1825,-0.675515672
1829,-0.675515672
183,0.710778689
1830,-1.591806404
1830s,-0.675515672
1832,0.93392224
1836,-0.675515672
1839,-1.08098078
183minute,-0.675515672
1840,0.423096617
1840sbr,-0.675515672
18421861,-0.675515672
1842br,-0.675515672
1845,-0.675515672
1846,-0.675515672
1847,-0.3878336
185,-0.675515672
1850,-0.3878336
1850ies,-0.675515672
1850s,0.710778689
1851,-1.774127961
1851br,0.710778689
1853,0.710778689
1854,-0.675515672
1858,-0.675515672
1859,-1.774127961
18591860,-0.675515672
1860,0.423096617
18601909,-0.675515672
1860s,0.864929369
1861,-1.08098078
18611865,-0.675515672
1862,-0.675515672
1863,-0.675515672
1864,0.710778689
1865,1.116243797
1866,-1.08098078
1867,1.116243797
1868,-0.675515672
1869,-1.08098078
187,-0.898659223
1870,-1.08098078
1870s,-1.368662853
1871,-0.675515672
1872,0.710778689
1873,-1.368662853
1876,-1.368662853
1879,-0.675515672
1880,-1.08098078
1880s,-1.591806404
1881,-0.675515672
1887,-0.675515672
1888,-1.368662853
1890,-0.675515672
1890s,0.305313581
1891,-1.08098078
1892,1.116243797
1893,-0.675515672
1894br,-0.675515672
18951966,-0.675515672
18961899,0.710778689
18961982,-0.675515672
1896jeff,-0.675515672
1898,-0.3878336
1899,0.017631508
18a,-0.675515672
18th,-0.898659223
18year,-0.675515672
18yearold,0.710778689
19,-0.365360744
1900,-1.591806404
1900s,-1.186341296
1900swow,-0.675515672
1901,-1.368662853
19011966,-0.675515672
1902,0.017631508
1903,0.423096617
1904,-1.368662853
19041971,-0.675515672
1905,-2.179593069
1905br,-0.675515672
1906,-1.368662853
19061979,-0.675515672
1907,0.93392224
1908,-1.08098078
1910,-1.08098078
1910s,-0.675515672
1911,-1.368662853
191112,1.40392587
1912,-2.547317849
1912br,-0.675515672
1913,-1.774127961
1914,-0.318840728
19141915,-0.675515672
1915,0.017631508
1915br,-0.675515672
1916,-0.675515672
1917,-1.281651476
1918,-0.541984279
1919,0.305313581
19192003,-0.675515672
1920,-0.770825852
1920helping,-0.675515672
1920ies,-0.675515672
1920s,-1.106298588
1920sbr,-0.675515672
1920searly,-0.675515672
1921,-1.854170668
192122,-0.675515672
1922,-1.774127961
1922br,-0.675515672
1922most,1.116243797
1923,-1.928278641
1923s,-0.675515672
1924,0.017631508
1925,-2.284953585
1926,-2.284953585
1927,-0.675515672
1928,-1.135048001
19281929,0.710778689
19281932,-0.675515672
1929,-1.368662853
19291931,-0.675515672
192988,-0.675515672
1929s,0.710778689
1930,-1.368662853
193031,1.116243797
193040,-0.675515672
1930br,-1.08098078
1930comedy,-0.675515672
1930europe,-0.675515672
1930iesbr,-0.675515672
1930s,-0.510435922
1930sbr,-0.3878336
1930slike,-0.675515672
1930sthe,-0.675515672
1930the,-0.675515672
1931,-0.307790892
19311997br,-0.675515672
1931featured,-0.675515672
1932,-0.176524506
1933,-0.220779515
19331939,-0.675515672
1933when,-0.675515672
1934,-1.687116584
19345,-0.675515672
1934br,0.017631508
1935,-0.357061941
1935s,-0.675515672
1936,-0.675515672
19361945,-0.675515672
1936br,-0.675515672
1936in,-0.675515672
1936universal,-0.675515672
1937,-1.186341296
1937br,-0.675515672
1937s,0.017631508
1938,-0.270050564
1938br,-0.675515672
1939,-0.405225342
19391940,-0.675515672
1939and,0.710778689
1939out,-0.675515672
1939robert,-0.675515672
1940,-1.502194245
1940br,-0.675515672
1940just,-0.675515672
1940s,-0.793298708
1940s50s,-0.675515672
1940s60s,-0.675515672
1940sbr,-0.3878336
1940sbut,-0.675515672
1941,0.25124636
19411991,-0.675515672
194145br,-0.675515672
1941br,0.423096617
1942,-0.624222378
1942br,-0.675515672
1942s,0.710778689
1943,-0.250632478
1943br,-0.675515672
1943it,-0.675515672
1944,0.24077506
194445,-0.675515672
1944early,-0.675515672
1944s,-0.675515672
1944the,-0.675515672
1945,-1.774127961
19452000,-0.675515672
1945br,0.423096617
1945film,-0.675515672
1946,-1.135048001
194666,1.116243797
1947,-0.528912198
194748,-0.675515672
1947br,0.017631508
1947s,-1.368662853
1947â,-0.675515672
1948,-0.937879937
1948br,-0.675515672
1949,-0.521364992
194950,-0.675515672
194951,-0.675515672
1949br,-1.368662853
1949er,0.710778689
1949s,-0.675515672
195,-0.675515672
1950,-0.307790892
195060,0.710778689
1950br,-1.08098078
1950s,-0.422066771
1950sbr,-0.675515672
1950searly,1.116243797
1950sprinceton,-0.675515672
1950stewart,-0.675515672
1950sâ,-0.675515672
1950version,-0.675515672
1950âs,1.963541658
1951,-1.127500796
1952,-2.333743749
1953,-1.668767445
1954,-0.898659223
1954all,-0.675515672
1954âbut,0.710778689
1955,-1.368662853
1.9552E+11,-0.675515672
195556,-0.675515672
1955and,-0.675515672
1956,-2.141852741
1956and,-1.08098078
1956br,-0.675515672
1956title,0.710778689
1957,-0.413151408
19571963,-0.675515672
19571965,1.116243797
1957br,-0.675515672
1957s,-1.08098078
1958,-0.452372121
1958stands,-0.675515672
1959,-0.916677729
19591960,-0.675515672
195960br,-0.675515672
1959br,-1.08098078
1959s,-0.675515672
196,-0.675515672
1960,0.516622675
19601980,-0.675515672
196061,-0.675515672
1960s,0.017631508
1960s1970s,-1.08098078
1960s70s,-0.675515672
1960sbr,0.710778689
1960searly,-1.08098078
1960sstyle,-0.675515672
1960sthats,-0.675515672
1961,-0.570155156
1961br,1.116243797
1962,-0.570155156
1962br,-0.675515672
1962s,1.116243797
1962since,-0.675515672
1963,-1.23513146
19631989,-0.675515672
1963s,0.710778689
1963the,-0.675515672
1964,0.142794651
19641968,-0.675515672
1964s,0.710778689
1964the,-0.675515672
1965,0.343053909
1965br,0.017631508
1966,-0.23368292
19661968,-1.08098078
1966sons,-0.675515672
1967,-0.880310085
1967br,-0.675515672
1967s,-0.675515672
1968,-0.989173231
196819,-0.675515672
196869,-0.675515672
196877,0.710778689
1968br,-0.675515672
1969,-1.055005294
1969and,0.710778689
1969br,-0.675515672
1969s,-0.675515672
1969the,-0.675515672
197,0.710778689
1970,0.437485354
1970br,-0.675515672
1970from,0.710778689
1970i,-0.675515672
1970s,-0.104471188
1970s1980s,1.116243797
1970sbr,0.017631508
1970sbut,0.710778689
1970sshe,-0.675515672
1970sstyle,0.710778689
1970stype,0.710778689
1971,-1.059927371
1971br,0.017631508
1972,-0.521364992
197273,-0.675515672
1972br,-0.675515672
1972heres,0.710778689
1972i,-0.675515672
1972s,1.40392587
1973,-0.016270043
19731974,-0.675515672
1973s,0.710778689
1973watching,-0.675515672
1974,-0.883155037
1974a,-0.675515672
1974and,-0.675515672
1974br,1.116243797
1974hoping,1.116243797
1974safari,-0.675515672
1975,-0.142711142
197583,1.116243797
1975br,0.710778689
1976,-0.197479871
19761984,1.40392587
197679,-0.675515672
1976im,1.116243797
1977,0.066421673
19771979,-0.675515672
19771981,-0.675515672
19771983,-0.675515672
1977br,0.710778689
1977s,0.017631508
1978,-0.164690048
19781987,-0.675515672
1978on,-0.675515672
1978s,-0.3878336
1979,-0.258621868
1.9792E+11,0.710778689
19796,0.710778689
197980,-0.675515672
197982,0.710778689
1979br,-1.08098078
1979s,1.116243797
1979who,1.116243797
1980,-0.916677729
1980br,-0.675515672
1980i,-0.675515672
1980ies,-0.675515672
1980if,1.116243797
1980s,0.031816143
1980sbr,-0.205512043
1980sness,-0.675515672
1981,-0.4466741
198182,-0.675515672
1981and,-0.675515672
1981br,0.710778689
1981i,-0.675515672
1981s,-0.675515672
1982,-0.483143779
19821984,0.710778689
198285,-0.675515672
1982in,-0.675515672
1982it,-0.675515672
1983,-0.300822223
19834,1.627069421
198385br,-0.675515672
1983br,-0.675515672
1983s,-1.08098078
1984,0.151162901
19841985that,-0.675515672
1984while,-0.675515672
1985,-0.154218748
1985br,0.017631508
1985s,-1.08098078
1986,-0.424201244
19863221,0.710778689
1986br,-0.675515672
1986s,-0.675515672
1986the,0.710778689
1987,-0.505616635
1987br,-1.591806404
1988,-0.049059866
19881989,0.710778689
19881993,0.710778689
198889,-0.675515672
1988br,-1.591806404
1988mostly,0.710778689
1988of,-0.675515672
1988on,-0.675515672
1988plus,-0.675515672
1988s,-0.675515672
1988the,-0.675515672
1988â1992,1.116243797
1989,-0.23368292
1989br,0.017631508
1989s,0.710778689
1989the,-0.675515672
199,2.09707305
1990,0.017631508
19901991,-0.675515672
1990s,-0.059329533
1990s2000s,-0.675515672
1990smore,1.116243797
1991,0.097674216
19911995,0.710778689
1991and,-0.675515672
1991br,0.710778689
1991s,-0.675515672
1992,-0.107531634
19921993,-0.675515672
1992br,-0.675515672
1992or,-0.675515672
1992s,-0.675515672
1993,0.268945937
19934,-0.675515672
199399,-0.675515672
1993br,0.710778689
1993it,-0.675515672
1993teamed,-0.675515672
1993with,-0.675515672
1994,-0.675515672
1994s,1.40392587
1995,-0.476386997
19951999,-0.675515672
19952000,-0.675515672
199596,-0.675515672
1995br,-0.675515672
1995s,0.710778689
1996,-0.853196849
1996behind,-0.675515672
1996br,-1.08098078
1996style,-0.675515672
1997,-0.452372121
1997br,-0.898659223
1997s,-0.270050564
1998,0.017631508
1998about,1.116243797
1998br,0.710778689
1998s,-0.675515672
1999,0.175260453
1999999,1.40392587
1999br,-0.3878336
1999s,0.710778689
19br,-0.675515672
19month,-0.675515672
19th,-0.597554131
19thc,-0.675515672
19thcentury,-1.928278641
19thearly,-1.08098078
19yearold,0.864929369
1and,0.710778689
1awful,-0.675515672
1billy,-0.675515672
1br,0.135414544
1d,1.116243797
1dimensional,1.116243797
1elisha,-0.675515672
1escaping,1.40392587
1h,-0.675515672
1h30,0.017631508
1h40,-1.08098078
1h40m,0.710778689
1hour,0.710778689
1howeverbut,-0.675515672
1invatation,0.710778689
1jesus,-0.675515672
1laughed,-0.675515672
1m,0.710778689
1monsoon,-0.675515672
1night,0.710778689
1ntsc,-0.675515672
1o,-0.675515672
1ok,1.116243797
1point,1.116243797
1pointer,1.40392587
1ryan,-0.675515672
1st,0.038250796
1stanley,-0.675515672
1star,-1.368662853
1story,0.710778689
1stperson,0.710778689
1the,-0.675515672
1time,1.116243797
1to10star,1.963541658
1when,-0.675515672
1year,-0.675515672
1â,-0.675515672
2,0.591499319
20,0.351059603
200,1.042135825
2000,0.260193146
20000,1.40392587
200000,0.305313581
20000000,-0.675515672
2000000more,-0.675515672
200000something,0.710778689
20001several,-0.675515672
2000br,0.710778689
2000s,-0.205512043
2000âit,-0.675515672
2001,-0.570155156
20012003,-0.675515672
2001and,-0.675515672
2001br,0.423096617
2001close,-0.675515672
2001hit,-0.675515672
2001s,-0.3878336
2001the,-0.675515672
2002,0.043606995
20022006,-0.675515672
2002br,-0.675515672
2002s,-0.675515672
2003,0.31991238
20032005,-1.08098078
2003br,-0.675515672
2003s,0.017631508
2004,0.017631508
20042005,-0.675515672
2004and,-0.675515672
2004br,0.017631508
2004s,-0.3878336
2005,-0.891738781
20052006,-0.675515672
2005br,-1.368662853
2005i,-0.675515672
2005s,-1.08098078
2006,-0.467876307
2006and,-0.675515672
2006br,-1.08098078
2006s,1.627069421
2006uk,-0.675515672
2007,-0.399262295
200708,0.710778689
2007br,-0.541984279
2007s,-0.3878336
2007âan,-0.675515672
2008,-0.07334027
2008br,0.710778689
2009,-0.183039187
2009br,-0.675515672
2009nazarin,-0.675515672
200am,-0.675515672
200l,-0.675515672
200pound,0.710778689
200seat,-0.675515672
200th,-1.08098078
201,0.710778689
2010,-0.675515672
2011,-1.368662853
2012,-1.591806404
2013,0.710778689
2015,0.710778689
202,-0.675515672
2020,-0.3878336
2021,-1.08098078
2022,-2.284953585
2023,-1.08098078
2025,-1.368662853
2030,1.116243797
2031,1.116243797
2033,0.710778689
2036,-1.774127961
2038,-0.675515672
2044,-0.675515672
2046,-0.675515672
2047,-0.675515672
2050,0.710778689
2050br,-0.675515672
2054,-1.774127961
2055,0.710778689
2090,-0.675515672
20c,-0.675515672
20dollarbudget,1.116243797
20inch,-0.675515672
20million,-0.675515672
20minute,1.116243797
20minutes,0.710778689
20odd,1.40392587
20plus,1.116243797
20some,-0.675515672
20something,0.017631508
20somethings,0.710778689
20swhat,0.710778689
20th,-0.970979885
20thcentury,1.40392587
20year,-1.368662853
20yearold,0.017631508
20yrs,-0.675515672
21,-0.675515672
210,3.87836122
2100,1.116243797
210br,0.423096617
210â,0.710778689
2112,-1.08098078
2135,0.710778689
214,-0.675515672
2151,-0.675515672
216,-0.675515672
218,-0.675515672
219,-1.08098078
21br,-0.675515672
21st,0.08217003
21stcentury,-0.675515672
21yearold,-0.675515672
22,0.438844974
2200,0.423096617
221,-1.08098078
2210,0.710778689
22102,1.116243797
221819,0.710778689
2223,-0.675515672
2252002,0.710778689
2252007,-0.675515672
2257,-0.675515672
22634,0.710778689
227,-1.08098078
227th,-0.675515672
2282006,0.710778689
229,-0.675515672
22cal,-0.675515672
22d,1.116243797
22h45,0.710778689
22m,-0.675515672
22minute,-0.675515672
22nd,-1.08098078
22orso,0.710778689
23,0.675687369
2300,0.710778689
230am,-0.675515672
230lbs,0.710778689
232,-0.675515672
233,0.710778689
2339,0.710778689
2346,-0.675515672
2351,0.710778689
236,1.116243797
237,-1.486445888
237pm,-0.675515672
23978,0.710778689
23d,1.116243797
23rd,-0.3878336
23rds,1.40392587
23yearold,-0.675515672
24,0.4122857
240,0.423096617
2400s,-0.675515672
241,1.40392587
2448,-0.675515672
247,0.017631508
2480s,-0.675515672
24and,-0.675515672
24carat,-0.675515672
24episode,-0.675515672
24hour,-0.675515672
24incidentally,-0.675515672
24k,-0.675515672
24minute,-0.675515672
24p,0.710778689
24th,-1.08098078
24year,-0.675515672
24yearold,-0.675515672
25,-0.042087726
250,-0.729582893
2500,0.199953065
25000,0.017631508
250000,0.305313581
25000000,-0.675515672
2505,-1.368662853
2505br,-0.675515672
250br,-1.08098078
2510,1.40392587
2535,-0.675515672
256,0.710778689
259,0.710778689
25br,-1.591806404
25hrs,0.710778689
25million,0.710778689
25th,-1.368662853
25yo,-1.08098078
25yr,-0.675515672
26,-1.186341296
260,1.116243797
260000,-0.675515672
2610,0.710778689
262,-0.675515672
26if,-0.675515672
26part,-0.675515672
26th,0.93392224
27,-0.357061941
2700,1.40392587
27000,-0.675515672
27000wtf,1.116243797
274,1.40392587
275,1.116243797
2772,1.116243797
27can,-0.675515672
27minute,-0.675515672
27th,-0.675515672
27year,-0.675515672
27yearold,1.116243797
28,0.017631508
28000000,1.116243797
28072000br,-0.675515672
2819,-0.675515672
2832010,-0.675515672
2837,0.710778689
288,1.116243797
28still,-0.675515672
28th,-0.675515672
28th04,-0.675515672
28yearold,-0.675515672
29,-0.339043435
290,-0.675515672
2900,0.710778689
2900s,0.710778689
295,1.40392587
295br,1.116243797
299,1.809390978
29br,-0.675515672
29th,-0.3878336
2akshay,0.710778689
2am,0.710778689
2and,0.017631508
2apparently,1.116243797
2billy,-0.675515672
2bit,1.116243797
2br,0.151162901
2chiller,0.710778689
2d,0.423096617
2dictator,-0.675515672
2dimensional,0.017631508
2disc,-1.591806404
2disk,0.710778689
2do,1.116243797
2even,-0.675515672
2fast,-0.675515672
2freddys,1.116243797
2furious,-0.675515672
2god,-0.675515672
2h30,-0.675515672
2hour,1.627069421
2hours,-0.675515672
2hr,0.710778689
2hrs,1.627069421
2it,-0.675515672
2johnny,-0.675515672
2just,0.710778689
2laughed,-0.675515672
2lets,1.116243797
2m,0.710778689
2making,-0.675515672
2miguel,-0.675515672
2min,-0.675515672
2months,1.116243797
2monthsnot,0.710778689
2more,0.710778689
2nd,-0.144887421
2nd3rd,0.710778689
2ndit,-0.675515672
2outof10,1.116243797
2pacdrdre,-0.675515672
2pal,-0.675515672
2part,-0.675515672
2parter,-0.675515672
2paul,0.710778689
2pm,-0.675515672
2point,-0.675515672
2running,1.40392587
2set,1.116243797
2she,-0.675515672
2sided,-0.675515672
2star,0.017631508
2superbabiesoh,-0.675515672
2the,-0.675515672
2their,1.116243797
2there,0.710778689
2though,-0.675515672
2timing,0.710778689
2urethraguy,1.116243797
2way,0.710778689
2x,1.116243797
2x4,0.710778689
3,0.580129143
30,0.433567916
300,1.082342245
3000,1.722379601
30000,0.577247296
300000,0.710778689
30000exactly,1.116243797
3000br,0.017631508
3000lb,-0.675515672
300ad,0.710778689
300lb,0.710778689
300mln,-0.675515672
300thousand,-0.675515672
300watt,-0.675515672
3040,-1.368662853
3045,0.710778689
3064,-0.675515672
30feet,1.116243797
30ft,1.116243797
30ish,-0.675515672
30k,0.710778689
30lbs,-0.675515672
30minute,0.998460761
30outof10,-0.675515672
30plus,1.116243797
30s40s,-1.368662853
30sand,1.116243797
30sbr,-0.675515672
30second,0.710778689
30some,-0.675515672
30something,-0.675515672
30somethings,-0.675515672
30sray,1.116243797
30th,1.116243797
30year,0.423096617
31,-0.270050564
310,3.483367411
310br,2.320216601
315,0.710778689
316,-0.675515672
317,0.710778689
31st,-1.08098078
31yearold,-1.368662853
32,0.122992024
3200,-0.675515672
32065,-0.675515672
320x180,0.710778689
322,0.710778689
325,-0.675515672
32814,-0.675515672
32his,-0.675515672
32nd,-0.675515672
32x,0.710778689
32yearold,-0.675515672
33,-0.300822223
330am,-0.675515672
333,0.710778689
3333,-0.675515672
33rd,-0.675515672
34,0.211787523
347,0.017631508
34br,1.116243797
34s,0.710778689
34second,-0.675515672
34th,0.017631508
35,0.040621027
350,-0.898659223
3500,0.423096617
350000,-0.675515672
3510,1.627069421
355,1.40392587
357,-0.675515672
35br,-0.675515672
35mm,-0.136519171
35s,-0.675515672
35th,1.40392587
35yearold,-0.675515672
36,0.258793565
360,0.423096617
36000,-1.591806404
360degree,1.40392587
360remake,-0.675515672
3610,-0.675515672
365,-0.675515672
369,1.116243797
36th,-2.179593069
37,-1.186341296
370,-0.675515672
3714,0.710778689
3741,0.710778689
375,1.116243797
378,-0.675515672
37800000,-0.675515672
38,-1.186341296
3849,0.710778689
388,1.116243797
38th,0.017631508
39,0.33608524
392,-0.675515672
3940,-0.675515672
395,0.017631508
399,0.93392224
399release,-0.675515672
39br,-0.675515672
39year,-0.675515672
39yearold,-0.675515672
3a,0.710778689
3am,1.116243797
3backtracking,-0.675515672
3br,0.374306452
3character,-0.675515672
3d,0.505334715
3dark,0.710778689
3dbr,-0.675515672
3dcgi,0.710778689
3digit,0.710778689
3dimensional,-0.675515672
3disc,-0.675515672
3dvd,-0.675515672
3hastings,0.710778689
3hills,0.710778689
3hoskins,1.116243797
3hour,-0.675515672
3hourexam,0.710778689
3hynkel,-0.675515672
3internet,-0.675515672
3k,1.116243797
3kbr,1.116243797
3lavaland,-0.675515672
3man,1.116243797
3mins,0.710778689
3minute,1.40392587
3monthold,-0.675515672
3o,1.116243797
3p0,-0.675515672
3part,0.423096617
3rd,-0.179078786
3rdbr,0.710778689
3rdrate,0.710778689
3rdworld,0.710778689
3rg,1.116243797
3second,-0.675515672
3shiria,-0.675515672
3simon,-0.675515672
3strip,1.116243797
3th,-0.675515672
3th4th,-0.675515672
3the,0.24077506
3there,1.116243797
3they,-0.675515672
3time,-0.675515672
3way,-0.675515672
3which,0.710778689
3whilst,0.710778689
3x,-0.675515672
3yearold,1.40392587
3you,0.710778689
4,0.625256516
40,0.046204881
400,-0.125469335
4000,-0.270050564
40000,-1.368662853
400000,-1.08098078
4000000,0.017631508
400page,0.710778689
4010,1.116243797
4050,-0.675515672
40br,1.116243797
40ish,0.017631508
40its,-0.675515672
40kms,0.710778689
40sa,-0.675515672
40sbr,-1.368662853
40something,-1.08098078
40somethings,-0.675515672
40story,0.710778689
40th,0.710778689
40to60,-0.675515672
40year,-0.675515672
40yearold,-1.928278641
40yearolds,1.116243797
40âs,-0.675515672
